Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans.,Amount,Total Cost,Total Volume of Bookings
K435,Google - US,4.30E+16,air france,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Paused,15,3592,2.27,36049,0.1,1.04,0.008,281.53,35926.95,8164.44,29
K1175,Google - Global,4.30E+16,paris plane tickets,Broad,Air France Global Campaign,Paris,paris,Position 1- 3,Unassigned,Unavailable,3.75,38,2.81,350,0.109,2.48,0.026,106.64,467.5,106.64,1
K1175,Google - Global,4.30E+16,paris airfare,Broad,Air France Global Campaign,Paris,paris,Position 1- 3,Unassigned,Unavailable,5,678,1.62,32909,0.021,2.42,0.007,220.12,4647.8,1100.6,5
K435,Google - US,4.30E+16,france cheap flights,Broad,Geo Targeted New York,New York to France Sale,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Live,6.25,78,2.73,1275,0.061,1.21,0.013,212.76,892.5,212.76,1
K1175,Google - Global,4.30E+16,paris airlines,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unassigned,Unavailable,5,218,2.33,2724,0.08,1.51,0.005,507.92,2094.4,507.92,1
K435,Google - US,4.30E+16,fly to france,Broad,Paris & France Terms,France,uncategorized,Pos 3-6,Unassigned,Paused,10,133,2.63,2440,0.055,1.17,0.023,116.78,1422.9,350.34,3
K1175,Google - Global,4.30E+16,air france,Broad,Air France Brand & French Destinations,Air France Brand,uncategorized,,Unassigned,Unavailable,5,3403,1.6,37720,0.09,1.66,0.007,218.45,22057.5,5461.24,25
K1175,Google - Global,4.30E+16,flight to paris,Broad,Air France Global Campaign,Paris,paris,Position 1- 3,Unassigned,Unavailable,3.75,274,1.88,7186,0.038,2.08,0.015,128.66,2062.95,514.65,4
K1123,Overture - Global,4.30E+16,cheap flight to paris,Advanced,Unassigned,Unassigned,flight,Position 1-2 Target,Unassigned,Paused,0.93,416,0.89,38048,0.011,1.78,0.007,122.78,1471.35,368.34,3
K1175,Google - Global,4.30E+16,paris plane ticket,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unassigned,Unavailable,5,36,2.76,181,0.199,2.33,0.028,99.24,390.15,99.24,1
K1122,Overture - US,4.30E+16,flight bargain,Standard,Unassigned,Unassigned,flightgeneral,Position 1-4 Bid Strategy,Unassigned,Paused,8.75,212,1.34,10471,0.02,1.03,0.005,283.8,1111.8,283.8,1
K435,Google - US,4.30E+16,france tickets,Broad,Paris & France Terms,France,uncategorized,Pos 3-6,Unassigned,Paused,10,83,3.35,3292,0.025,1.51,0.024,138.96,1070.15,277.92,2
K435,Google - US,4.30E+16,paris flight,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,6.25,202,2.26,3564,0.057,1.97,0.01,228.03,1747.6,456.06,2
K2615,Yahoo - US,4.30E+16,nice flights,Standard,French Destinations,Nice,uncategorized,,Unassigned,Live,6.25,189,1.56,15038,0.013,1,0.005,295.72,1120.3,295.72,1
K1175,Google - Global,4.30E+16,paris plane tickets,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unassigned,Unavailable,5,62,3.37,478,0.13,2.29,0.016,208.89,780.3,208.89,1
K435,Google - US,4.30E+16,paris flights,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Live,6.25,280,2.2,5100,0.055,2.26,0.011,205.25,2283.1,615.75,3
K435,Google - US,4.30E+16,paris tickets,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,6.25,96,2.96,3348,0.029,1.35,0.01,284.03,1050.6,284.03,1
